[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -86.603 [m], -50 [m], 0 [m]
Axis 3 Point = -86.603 [m], -50 [m], 1 [m]
Plane 13 Point = -86 [m], -50 [m], 1 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
1.71344528e+001, -1.82538071e+001, 3.21714211e+001, 2.66561963e+003
1.92954254e+000, -2.07798538e+001, 2.45628891e+002, -3.14940216e+002
1.79866791e+000, -2.09648743e+001, 2.45447037e+002, 2.27456329e+002
1.83251190e+000, -2.09268646e+001, 2.45810669e+002, -3.19175262e+002
2.05329895e+000, -1.97187653e+001, 2.45012589e+002, 1.02700294e+002
1.87825775e+000, -2.03763580e+001, 2.45190292e+002, 2.87934174e+002
-2.58773041e+000, -1.42970963e+001, 2.41120956e+002, -2.46048279e+002
-2.71920776e+000, -1.48746185e+001, 2.40791229e+002, -9.85084839e+001
-2.79846191e+000, -1.43617783e+001, 2.40828903e+002, 4.89171631e+002
-2.69505310e+000, -1.50778198e+001, 2.40523621e+002, 1.91601379e+003
-2.72059631e+000, -1.46192932e+001, 2.40580505e+002, 1.90390137e+003
3.43997192e+000, -5.91368484e+000, 2.38754257e+002, 1.91395233e+002
3.52033234e+000, -5.75613403e+000, 2.39109589e+002, -2.77818375e+001
3.74033356e+000, -5.45308685e+000, 2.38678848e+002, -3.25158234e+002
2.80299377e+000, -1.11897240e+001, 2.41104523e+002, 2.95823486e+002
2.98757172e+000, -1.07781105e+001, 2.40914108e+002, -7.41405411e+001
2.77777863e+000, -1.07286758e+001, 2.40961334e+002, 1.32564026e+003
2.87598419e+000, -9.86385727e+000, 2.40582077e+002, 1.17621667e+003
3.05808258e+000, -9.52640915e+000, 2.40786087e+002, -7.93525085e+001
2.88083649e+000, -9.92219925e+000, 2.40906754e+002, 5.16475220e+002
3.38911438e+000, -8.18470383e+000, 2.44857330e+002, -4.12951508e+002
3.28293610e+000, -8.43563461e+000, 2.44620560e+002, 2.10579102e+002
3.35317230e+000, -8.63325882e+000, 2.44953308e+002, -5.65139771e+002
3.38045502e+000, -7.00265121e+000, 2.44616333e+002, 1.25383896e+002
3.49343872e+000, -7.58093262e+000, 2.44516556e+002, -6.83836670e+001
3.37750244e+000, -7.62850952e+000, 2.44770096e+002, -3.06219086e+002
3.32933807e+000, -9.05710220e+000, 2.42384125e+002, -1.01613365e+002
3.13331604e+000, -8.71067429e+000, 2.42546707e+002, -6.76204300e+001
3.45232391e+000, -8.53173065e+000, 2.42437729e+002, -8.78261658e+002
3.39271545e+000, -9.15611267e+000, 2.42022720e+002, -9.08705383e+002
3.36051941e+000, -9.57202911e+000, 2.42080627e+002, -2.70409180e+002
-1.73425293e+000, -1.92673874e+001, 2.44996796e+002, 7.06402222e+002
-1.87251282e+000, -1.91965103e+001, 2.45078674e+002, 8.25888245e+002
-1.74016571e+000, -1.90654602e+001, 2.44806870e+002, 6.17324768e+002
-2.11914825e+000, -1.91371918e+001, 2.44746170e+002, 1.41888367e+003
-2.04057312e+000, -1.90252686e+001, 2.44977127e+002, 8.95663269e+002
2.32474518e+000, -1.42548294e+001, 2.42591736e+002, 1.30929395e+003
